,Unnamed: 0,EN,Flag,Cathegory,Keyword_Count,CS,DE,ES,PT-BR,FR,NL
85,88,car financing,1,Cars,13,financování automobilů,Autofinanzierung,financiación de coches,financiamento de automóveis,financement de la voiture,autofinanciering
86,89,leasing,1,Cars,7,leasing,Leasing,arrendamiento,leasing,leasing,leasing
87,90,tesla model s,1,Cars,13,tesla model s,tesla model s,tesla model s,modelo tesla s,modèle s de tesla,tesla model s
88,91,tesla model 3,1,Cars,13,tesla model 3,tesla model 3,tesla model 3,modelo tesla 3,tesla modèle 3,tesla model 3
89,92,bmw 3 series,1,Cars,12,bmw řady 3,bmw 3 series,bmw serie 3,série bmw 3,bmw 3 series,bmw 3 serie
90,93,car license,1,Cars,11,řidičský průkaz,Autozulassung,licencia de conducir,licença de carro,car license,autovergunning
91,94,driving test,1,Cars,12,řidičské zkoušky,Fahrprüfung,examen de conducir,teste de condução,test de conduite,rijexamen
92,95,first car,1,Cars,9,první auto,erstes Auto,primer coche,primeiro carro,première voiture,eerste auto
93,96,mercedes benz,1,Cars,13,mercedes benz,mercedes benz,mercedes benz,mercedes benz,mercedes benz,mercedes benz
94,97,bmw,1,Cars,3,bmw,bmw,bmw,bmw,bmw,bmw
95,98,volkswagen,1,Cars,10,volkswagen,volkswagen,volkswagen,volkswagen,volkswagen,volkswagen
96,99,vw,1,Cars,2,vw,vw,vw,vw,vw,vw
97,100,volkswagen golf,1,Cars,15,volkswagen golf,volkswagen golf,volkswagen golf,volkswagen golfe,volkswagen golf,volkswagen golf
98,101,peugeot 208,1,Cars,11,peugeot 208,peugeot 208,peugeot 208,peugeot 208,peugeot 208,peugeot 208
99,102,dacia sandero,1,Cars,13,dacia sandero,dacia sandero,dacia sandero,dacia sandero,dacia sandero,dacia sandero
100,103,skoda octavia,1,Cars,13,Škoda Octavia,skoda octavia,skoda octavia,skoda octavia,skoda octavia,skoda octavia
101,104,ford f150,1,Cars,9,Ford f150,ford f150,ford f150,ford f150,ford f150,ford f150
102,105,ram pickup,1,Cars,10,ram pickup,Impulsaufnehmer,camioneta ram,pickup ram,ram pickup,ram pick-up
103,106,chevrolet silverado,1,Cars,19,chevrolet silverado,Chevrolet Silverado,chevrolet silverado,chevrolet silverado,chevrolet silverado,chevrolet silverado
104,107,vaccines cause autism,1,Conspiracy Theories,21,vakcíny způsobují autismus,Impfstoffe verursachen Autismus,las vacunas provocan el autismo,as vacinas causam autismo,les vaccins provoquent l'autisme,vaccins veroorzaken autisme
105,108,autism vaccines,1,Conspiracy Theories,15,vakcíny proti autismu,Autismus-Impfstoffe,vacunas contra el autismo,vacinas contra o autismo,vaccins pour l'autisme,autisme-vaccins
106,109,autism,1,Conspiracy Theories,6,autismus,Autismus,autismo,autismo,autisme,autisme
107,110,Chemtrails,1,Conspiracy Theories,10,Chemtrails,Chemtrails,Chemtrails,Chemtrails,Chemtrails,Chemtrails
108,111,JFK assassination,1,Conspiracy Theories,17,Atentát na JFK,JFK-Attentat,El asesinato de JFK,Assassinato de JFK,L'assassinat de JFK,De moord op JFK
109,112,27 Club,1,Conspiracy Theories,7,27 Club,27 Club,27 Club,27 Clube,27 Club,27 Club
110,113,New world order,1,Conspiracy Theories,15,Nový světový řád,Neue Weltordnung,Nuevo orden mundial,Nova ordem mundial,Nouvel ordre mondial,Nieuwe wereldorde
111,114,George Soros,1,Conspiracy Theories,12,George Soros,George Soros,George Soros,George Soros,George Soros,George Soros
112,115,Soros,1,Conspiracy Theories,5,Soros,Soros,Soros,Soros,Soros,Soros
113,116,Freemasonry,1,Conspiracy Theories,11,Svobodné zednářství,Freimaurerei,Masonería,Maçonaria,Franc-maçonnerie,Vrijmetselarij
114,117,Area 51,1,Conspiracy Theories,7,Oblast 51,Gebiet 51,Área 51,Área 51,Zone 51,Area 51
115,118,Roswell UFO,1,Conspiracy Theories,11,Roswellské UFO,Roswell UFO,OVNI de Roswell,OVNI Roswell,OVNI de Roswell,Roswell UFO
116,119,UFO,1,Conspiracy Theories,3,UFO,UFO,OVNI,UFO,OVNI,UFO
117,120,men in black,1,Conspiracy Theories,12,muži v černém,Männer in Schwarz,hombres de negro,homens de preto,les hommes en noir,men in black
118,121,Crop cirle,1,Conspiracy Theories,10,Kruhy v obilí,Kornkreis,Círculo de cultivo,Círculo de culturas,Cercle de culture,Gewas cirkel
119,122,crop formation,1,Conspiracy Theories,14,tvorba plodin,Kropfbildung,formación de cultivos,formação de culturas,formation des cultures,gewasvorming
120,123,Illuminati,1,Conspiracy Theories,10,Ilumináti,Illuminaten,Illuminati,Illuminati,Illuminati,Illuminati
121,124,911,1,Conspiracy Theories,3,911,911,911,911,911,911
122,125,09.XI,1,Conspiracy Theories,5,09.XI,09.XI,09.XI,09.XI,09.XI,09.XI
123,126,Sandy Hook,1,Conspiracy Theories,10,Sandy Hook,Sandy Hook,Sandy Hook,Gancho Sandy,Sandy Hook,Sandy Hook
124,127,Clinton body count,1,Conspiracy Theories,18,Clinton body count,Anzahl der Clinton-Körper,Recuento de cadáveres de Clinton,Contagem de corpos Clinton,Le nombre de corps de Clinton,Clinton body count
125,128,Jeffrey Epstein death,1,Conspiracy Theories,21,Smrt Jeffreyho Epsteina,Jeffrey Epsteins Tod,Muerte de Jeffrey Epstein,A morte de Jeffrey Epstein,Mort de Jeffrey Epstein,Jeffrey Epstein dood
126,129,jeffrey epstein,1,Conspiracy Theories,15,jeffrey epstein,jeffrey epstein,jeffrey epstein,jeffrey epstein,jeffrey epstein,jeffrey epstein
127,130,Epstein,1,Conspiracy Theories,7,Epstein,Epstein,Epstein,Epstein,Epstein,Epstein
128,131,FEMA,1,Conspiracy Theories,4,FEMA,FEMA,FEMA,FEMA,FEMA,FEMA
129,132,Fema camps,1,Conspiracy Theories,10,Tábory Fema,Fema-Lager,Campamentos de la Fema,Campos de Fema,Camps Fema,Fema kampen
130,133,Cutural marxism,1,Conspiracy Theories,15,Kulturální marxismus,Kuturmarxismus,Cutural marxism,O marxismo cutural,Marxisme culturel,Cuturele marxisme
131,134,Tea party,1,Conspiracy Theories,9,Tea party,Teeparty,Tea party,Festa do chá,Tea party,Theekransje
132,135,Frankfurt school,1,Conspiracy Theories,16,Frankfurtská škola,Frankfurter Schule,Escuela de Frankfurt,Escola de Frankfurt,L'école de Francfort,Frankfurt school
133,136,Deep state,1,Conspiracy Theories,10,Deep state,Tiefer Staat,Estado profundo,Estado profundo,État profond,Diepe staat
134,137,QAnon,1,Conspiracy Theories,5,QAnon,QAnon,QAnon,QAnon,QAnon,QAnon
135,138,Antifa,1,Conspiracy Theories,6,Antifa,Antifa,Antifa,Antifa,Antifa,Antifa
136,139,water fluoridation,1,Conspiracy Theories,18,fluorizace vody,Wasserfluoridierung,fluorización del agua,fluorização da água,la fluoration de l'eau,waterfluoridering
137,140,fluoride,1,Conspiracy Theories,8,fluorid,Fluorid,fluoruro,flúor,fluorure,fluoride
138,141,HAARP,1,Conspiracy Theories,5,HAARP,HAARP,HAARP,HAARP,HAARP,HAARP
139,142,MKUltra,1,Conspiracy Theories,7,MKUltra,MKUltra,MKUltra,MKUltra,MKUltra,MKUltra
140,143,Project Monarch,1,Conspiracy Theories,15,Projekt Monarch,Projekt Monarch,Proyecto Monarca,Projeto Monarch,Projet Monarch,Project Monarch
141,144,Flat Earth,1,Conspiracy Theories,10,Plochá Země,Flache Erde,Tierra plana,Terra plana,Terre plate,Platte Aarde
142,145,Vril society,1,Conspiracy Theories,12,Vril society,Vril-Gesellschaft,Sociedad Vril,Sociedade Vril,Société Vril,Vril samenleving
143,146,Cuban health attacks,1,Conspiracy Theories,20,Cuban health attacks,Angriffe auf die kubanische Gesundheit,Ataques a la sanidad cubana,Ataques à saúde cubana,Attaques sanitaires à Cuba,Cubaanse gezondheidsaanvallen
144,147,assange,1,Conspiracy Theories,7,assange,assange,assange,assange,assange,assange
145,148,wikileaks,1,Conspiracy Theories,9,wikileaks,wikileaks,wikileaks,wikileaks,wikileaks,wikileaks
146,149,snowden,1,Conspiracy Theories,7,snowden,snowden,snowden,nevado,snowden,snowden
147,150,edward snowden,1,Conspiracy Theories,14,Edward Snowden,Edward Snowden,edward snowden,edward snowden,edward snowden,edward snowden
148,151,Moon landing,1,Conspiracy Theories,12,Přistání na Měsíci,Mondlandung,Alunizaje,Aterragem na Lua,Atterrissage sur la Lune,Maanlanding
149,152,fake moon landing,1,Conspiracy Theories,17,falešné přistání na Měsíci,gefälschte Mondlandung,falso alunizaje,falso pouso lunar,faux alunissage,nep maanlanding
150,153,lost cosmonauts,1,Conspiracy Theories,15,ztracení kosmonauti,verlorene Kosmonauten,cosmonautas perdidos,cosmonautas perdidas,les cosmonautes disparus,verloren kosmonauten
151,154,phantom cosmonauts,1,Conspiracy Theories,18,přízrační kosmonauti,Phantomkosmonauten,cosmonautas fantasmas,cosmonautas fantasmas,cosmonautes fantômes,fantoom kosmonauten
152,155,war against islam,1,Conspiracy Theories,17,válka proti islámu,krieg gegen den islam,guerra contra el islam,guerra contra o islamismo,guerre contre l'islam,oorlog tegen de islam
153,156,crisis actors,1,Conspiracy Theories,13,krizoví aktéři,Krisenakteure,actores de la crisis,atores de crise,acteurs de la crise,crisisactoren
154,157,dead cattle,1,Conspiracy Theories,11,mrtvý dobytek,totes Vieh,ganado muerto,gado morto,bovins morts,dood vee
155,158,erich von däniken,1,Conspiracy Theories,17,erich von däniken,erich von däniken,erich von däniken,erich von däniken,erich von däniken,erich von däniken
156,159,däniken,1,Conspiracy Theories,7,Dánsko,Dänemark,Dinamarca,Dinamarca,Danemark,Denemarken
157,160,Giorgio A. Tsoukalos,1,Conspiracy Theories,20,Giorgio A. Tsoukalos,Giorgio A. Tsoukalos,Giorgio A. Tsoukalos,Giorgio A. Tsoukalos,Giorgio A. Tsoukalos,Giorgio A. Tsoukalos
158,161,Tsoukalos,1,Conspiracy Theories,9,Tsoukalos,Tsoukalos,Tsoukalos,Tsoukalos,Tsoukalos,Tsoukalos
159,162,reptilians,1,Conspiracy Theories,10,reptiliáni,Reptilien,reptilianos,reptilianos,reptiliens,reptielen
160,163,the plan,1,Conspiracy Theories,8,plán,der Plan,el plan,o plano,le plan,het plan
161,164,love jihad,1,Conspiracy Theories,10,milostný džihád,Liebesdschihad,yihad del amor,amor jihad,le djihad de l'amour,liefdevolle jihad
162,165,eurabia,1,Conspiracy Theories,7,eurabia,eurabien,eurabia,eurabia,eurabie,eurabia
163,166,Barack Obama muslim,1,Conspiracy Theories,19,Barack Obama je muslim,Barack Obama ist Muslim,Barack Obama es musulmán,Barack Obama é muçulmano,Barack Obama est musulman,Barack Obama is moslim
164,167,vatican secret archives,1,Conspiracy Theories,23,Vatikánské tajné archivy,Vatikanisches Geheimarchiv,archivos secretos del vaticano,arquivo secreto vaticano,archives secrètes du Vatican,geheime archieven van het vaticaan
165,168,secret archives,1,Conspiracy Theories,15,tajné archivy,Geheimarchive,archivos secretos,arquivos secretos,archives secrètes,geheime archieven
166,169,know nothings,1,Conspiracy Theories,13,nic nevím,Ahnungslose,no sabe nada,não sabe nada,ne rien savoir,weet niets
167,170,kkk,1,Conspiracy Theories,3,kkk,kkk,kkk,kkk,kkk,kkk
168,171,ku klux klan,1,Conspiracy Theories,12,ku klux klan,Ku-Klux-Klan,ku klux klan,ku klux klan,ku klux klan,ku klux klan
169,172,Malcom X,1,Conspiracy Theories,8,Malcom X,Malcom X,Malcom X,Malcom X,Malcom X,Malcom X
170,173,Martin Luther King,1,Conspiracy Theories,18,Martin Luther King,Martin Luther King,Martin Luther King,Martin Luther King,Martin Luther King,Martin Luther King
171,174,dr. king,1,Conspiracy Theories,8,dr. king,Dr. König,Dr. Rey,dr. king,Dr. King,dr. king
172,175,white pride,1,Conspiracy Theories,11,white pride,weißer Stolz,orgullo blanco,orgulho branco,fierté blanche,witte trots
173,176,Pope John Paul II assassination,1,Conspiracy Theories,31,Atentát na papeže Jana Pavla II.,Ermordung von Papst Johannes Paul II.,Asesinato del Papa Juan Pablo II,O assassinato do Papa João Paulo II,L'assassinat du pape Jean-Paul II,De moord op paus Johannes Paulus II
174,177,ps5,1,Consumerism,3,ps5,ps5,ps5,ps5,ps5,ps5
175,178,ps4,1,Consumerism,3,ps4,ps4,ps4,ps4,ps4,ps4
176,179,ps3,1,Consumerism,3,ps3,ps3,ps3,ps3,ps3,ps3
177,180,xbox one,1,Consumerism,8,xbox one,xbox one,xbox one,x caixa um,xbox one,xbox one
178,181,xbox series s,1,Consumerism,13,řada xbox s,xbox serie s,xbox serie s,séries xbox s,xbox série s,xbox serie s
179,182,xbox series x,1,Consumerism,13,řada xbox x,xbox serie x,serie x de xbox,xbox série x,xbox série x,xbox serie x
180,183,playstation,1,Consumerism,11,playstation,playstation,playstation,playstation,playstation,playstation
181,184,nintendo,1,Consumerism,8,nintendo,nintendo,nintendo,nintendo,nintendo,nintendo
182,185,lidl,1,Consumerism,4,lidl,lidl,lidl,lidl,lidl,lidl
183,186,walmart,1,Consumerism,7,walmart,walmart,walmart,walmart,walmart,walmart
184,187,costco,1,Consumerism,6,costco,costco,costco,costco,costco,costco
185,188,tesco,1,Consumerism,5,tesco,tesco,tesco,tesco,tesco,tesco
186,189,kaufland,1,Consumerism,8,kaufland,kaufland,kaufland,kaufland,kaufland,kaufland
187,190,whole foods,1,Consumerism,11,whole foods,Vollwertkost,alimentos integrales,alimentos integrais,aliments complets,hele voedingsmiddelen
188,191,dollar general,1,Consumerism,14,dollar general,Dollar General,dólar general,dólar geral,dollar général,dollar general
189,192,dollar store,1,Consumerism,12,dollar store,Dollarladen,tienda del dólar,loja dólar,magasin à un dollar,dollarwinkel
190,193,iphone,1,Consumerism,6,iphone,iphone,iphone,iphone,iphone,iphone
191,194,macbook,1,Consumerism,7,macbook,macbook,macbook,macbook,macbook,macbook
192,195,mac,1,Consumerism,3,mac,mac,mac,mac,mac,mac
193,196,pc,1,Consumerism,2,pc,pc,pc,pc,pc,pc
194,197,samsung,1,Consumerism,7,samsung,samsung,samsung,samsung,samsung,Samsung
195,198,ikea,1,Consumerism,4,ikea,ikea,ikea,ikea,ikea,ikea
196,199,condoms,1,Contraceptives,7,kondomy,Kondome,condones,preservativos,préservatifs,condooms
197,200,pills,1,Contraceptives,5,pilulky,Pillen,pastillas,pílulas,pilules,pillen
198,201,contraceptives,1,Contraceptives,14,antikoncepce,Verhütungsmittel,anticonceptivos,contraceptivos,contraceptifs,anticonceptiemiddelen
199,202,vasectomy,1,Contraceptives,9,vasektomie,Vasektomie,vasectomía,vasectomia,vasectomie,vasectomie
200,203,how to pull out,1,Contraceptives,15,přerušovaná soulož,wie man herausfährt,cómo sacar,como sair,comment se retirer,hoe eruit te trekken
201,204,pull out method,1,Contraceptives,15,metoda vytahování,Pull-Out-Methode,método pull out,método pull out,méthode d'extraction,uittrekmethode
202,205,after pill,1,Contraceptives,10,pilulka poté,Pille danach,después de la píldora,após a pílula,après la pilule,na de pil
203,206,Rigevidon,1,Contraceptives,9,Rigevidon,Rigevidon,Rigevidon,Rigevidon,Rigevidon,Rigevidon
204,207,Postinor,1,Contraceptives,8,Postinor,Postinor,Postinor,Postinor,Postinor,Postinor
205,208,Plan B,1,Contraceptives,6,Plán B,Plan B,Plan B,Plano B,Plan B,Plan B
206,209,husband beats me,1,Crime,16,manžel mě bije,Ehemann schlägt mich,el marido me pega,o marido me bate,le mari me bat,man slaat me
207,210,wife beats me,1,Crime,13,manželka mě bije,Frau schlägt mich,mi mujer me pega,a esposa me bate,ma femme me bat,vrouw slaat me
208,211,fake id,1,Crime,7,falešný průkaz totožnosti,gefälschter Ausweis,identificación falsa,identificação falsa,faux identifiant,vals id
209,212,School shooting,1,Crime,15,Střelba ve škole,Schießerei in der Schule,Tiroteo en la escuela,Tiroteio escolar,Fusillade dans une école,Schietpartij op school
210,213,School police,1,Crime,13,Školní policie,Schulpolizei,Policía escolar,Polícia escolar,Police scolaire,Schoolpolitie
211,214,education,1,Education,9,vzdělávání,Bildung,educación,educação,éducation,onderwijs
212,215,high schools near me,1,Education,20,střední školy v mém okolí,Gymnasien in meiner Nähe,escuelas secundarias cerca de mí,escolas secundárias perto de mim,lycées près de chez moi,middelbare scholen bij mij in de buurt
213,216,university,1,Education,10,univerzita,Universität,universidad,universidade,université,universiteit
214,217,college,1,Education,7,vysoká škola,Hochschule,universidad,faculdade,collège,college
215,218,kindergarden,1,Education,12,mateřská škola,Kindergarten,jardín de infancia,jardim-de-infância,jardin d'enfants,kindergarden
216,219,kindergardens near me ,1,Education,22,mateřské školy v mém okolí,Kindergärten in meiner Nähe,guarderías cerca de mí,jardins de infância perto de mim,Jardins d'enfants près de chez moi,kindergardens near me
217,220,school,1,Education,6,škola,Schule,escuela,escola,école,school
218,221,school shotings,1,Education,15,střelba ve škole,Schulerschießungen,disparos en las escuelas,tiroteios escolares,fusillades dans les écoles,schietpartijen op scholen
219,223,language course,1,Education,15,jazykový kurz,Sprachkurs,curso de idiomas,curso de idiomas,cours de langue,taalcursus
220,224,maths,1,Education,5,matematika,Mathe,matemáticas,matemática,maths,wiskunde
221,225,geography,1,Education,9,zeměpis,Geographie,geografía,geografia,géographie,aardrijkskunde
222,226,chemistry,1,Education,9,chemie,Chemie,química,química,chimie,chemie
223,227,english,1,Education,7,angličtina,Englisch,inglés,inglês,anglais,engels
224,228,german lectures,1,Education,15,německé přednášky,deutsche Vorträge,conferencias en alemán,palestras em alemão,conférences en allemand,Duitse lezingen
225,229,german,1,Education,6,německy,deutsch,alemán,alemão,allemand,duits
226,230,spanish lectures,1,Education,16,španělské přednášky,Spanische Vorlesungen,conferencias en español,palestras em espanhol,conférences en espagnol,lezingen spaans
227,231,spanish,1,Education,7,španělština,spanisch,español,espanhol,espagnol,Spaans
228,232,calculus,1,Education,8,výpočet,Kalkül,cálculo,cálculo,calculs,calculus
229,233,community college,1,Education,17,komunitní vysoká škola,Community College,colegio comunitario,faculdade comunitária,collège communautaire,gemeenschapsschool
230,235,course,1,Education,6,závod,Lauf,carrera,raça,course,race
231,236,courses,1,Education,7,závody,Einkäufe,carreras,corridas,courses,wedstrijden
232,237,management courses,1,Education,18,kurzy managementu,Managementkurse,cursos de gestión,cursos de gestão,management courses,managementcursussen
233,238,management course,1,Education,17,kurz managementu,Managementkurs,curso de gestión,curso de gestão,management course,managementcursus
234,239,Scio,1,Education,4,Scio,Scio,Scio,Scio,Scio,Scio
